"","ensembl_gene_id_version","gene_biotype"
"87","ENSG00000298861.1","lncRNA"
"88","ENSG00000295668.1","lncRNA"
"89","ENSG00000303750.1","lncRNA"
"90","ENSG00000303853.1","lncRNA"
"91","ENSG00000278817.1","protein_coding"
"92","ENSG00000276017.1","protein_coding"
"93","ENSG00000297072.1","lncRNA"
"94","ENSG00000297558.1","lncRNA"
"95","ENSG00000298095.1","lncRNA"
"96","ENSG00000308643.1","lncRNA"
"97","ENSG00000301131.1","lncRNA"
"98","ENSG00000303733.1","lncRNA"
"99","ENSG00000305236.1","lncRNA"
"100","ENSG00000309233.1","lncRNA"
"101","ENSG00000300074.1","lncRNA"
"102","ENSG00000298793.1","lncRNA"
"103","ENSG00000300093.1","lncRNA"
"104","ENSG00000303588.1","lncRNA"
"105","ENSG00000300846.1","lncRNA"
"106","ENSG00000307470.1","lncRNA"
"107","ENSG00000308966.1","lncRNA"
"108","ENSG00000306938.1","lncRNA"
"109","ENSG00000301573.1","lncRNA"
"110","ENSG00000309079.1","lncRNA"
"111","ENSG00000307061.1","lncRNA"
"112","ENSG00000295063.1","lncRNA"
"113","ENSG00000301587.1","lncRNA"
"114","ENSG00000309229.1","lncRNA"
"115","ENSG00000310277.1","lncRNA"
"116","ENSG00000303173.1","lncRNA"
"117","ENSG00000303875.1","lncRNA"
"118","ENSG00000303892.1","lncRNA"
"119","ENSG00000307077.1","lncRNA"
"120","ENSG00000303912.1","lncRNA"
"121","ENSG00000275661.1","misc_RNA"
"122","ENSG00000310347.1","lncRNA"
"123","ENSG00000276351.1","misc_RNA"
"124","ENSG00000308185.1","lncRNA"
"125","ENSG00000276345.1","protein_coding"
"126","ENSG00000306744.1","lncRNA"
"127","ENSG00000277374.1","snRNA"
"128","ENSG00000306767.1","lncRNA"
"129","ENSG00000273532.1","misc_RNA"
"130","ENSG00000303573.1","lncRNA"
"131","ENSG00000294171.1","lncRNA"
"132","ENSG00000308844.1","lncRNA"
"133","ENSG00000309296.1","lncRNA"
"134","ENSG00000293753.1","lncRNA"
"135","ENSG00000299010.1","lncRNA"
"136","ENSG00000309338.1","lncRNA"
"137","ENSG00000276932.1","misc_RNA"
"138","ENSG00000302801.1","lncRNA"
"139","ENSG00000309357.1","lncRNA"
"140","ENSG00000302039.1","lncRNA"
"141","ENSG00000306402.1","lncRNA"
"142","ENSG00000307088.1","lncRNA"
"143","ENSG00000294191.1","lncRNA"
"144","ENSG00000304792.1","lncRNA"
"145","ENSG00000304816.1","lncRNA"
"146","ENSG00000309831.1","lncRNA"
"147","ENSG00000274202.1","snRNA"
"148","ENSG00000299852.1","lncRNA"
"149","ENSG00000303221.1","lncRNA"
"150","ENSG00000304845.1","lncRNA"
"151","ENSG00000299870.1","lncRNA"
"152","ENSG00000300815.1","lncRNA"
"153","ENSG00000304057.1","lncRNA"
"154","ENSG00000275987.1","snRNA"
"155","ENSG00000268674.2","protein_coding"
"156","ENSG00000277475.1","protein_coding"
"157","ENSG00000275405.1","snRNA"
"158","ENSG00000298139.1","lncRNA"
"159","ENSG00000299885.1","lncRNA"
"160","ENSG00000293919.1","lncRNA"
"161","ENSG00000298153.1","lncRNA"
"162","ENSG00000275063.1","protein_coding"
"163","ENSG00000298169.1","lncRNA"
"164","ENSG00000277856.1","protein_coding"
"165","ENSG00000307722.1","lncRNA"
"166","ENSG00000298751.1","lncRNA"
"167","ENSG00000310401.1","lncRNA"
"168","ENSG00000298769.1","lncRNA"
"169","ENSG00000301091.1","lncRNA"
"170","ENSG00000298181.1","lncRNA"
"171","ENSG00000303154.1","lncRNA"
"172","ENSG00000276711.1","snRNA"
"173","ENSG00000302961.1","lncRNA"
"174","ENSG00000309258.1","lncRNA"
"175","ENSG00000293939.1","lncRNA"
"176","ENSG00000293969.1","lncRNA"
"177","ENSG00000297844.1","lncRNA"
"178","ENSG00000278384.1","protein_coding"
"179","ENSG00000301761.1","lncRNA"
"180","ENSG00000296732.1","lncRNA"
"181","ENSG00000273748.1","protein_coding"
"182","ENSG00000296581.1","lncRNA"
"183","ENSG00000296598.1","lncRNA"
"184","ENSG00000296618.1","lncRNA"
"185","ENSG00000307122.1","lncRNA"
"186","ENSG00000307143.1","lncRNA"
"187","ENSG00000307166.1","lncRNA"
"188","ENSG00000296634.1","lncRNA"
"189","ENSG00000296756.1","lncRNA"
"190","ENSG00000309793.1","lncRNA"
"191","ENSG00000274175.1","protein_coding"
"192","ENSG00000273554.4","protein_coding"
"193","ENSG00000275869.1","protein_coding"
"194","ENSG00000278510.1","processed_pseudogene"
"195","ENSG00000273843.1","processed_pseudogene"
"196","ENSG00000301787.1","lncRNA"
"197","ENSG00000277836.1","protein_coding"
"198","ENSG00000294926.1","lncRNA"
"199","ENSG00000295260.1","lncRNA"
"200","ENSG00000296775.1","lncRNA"
"201","ENSG00000295285.1","lncRNA"
"202","ENSG00000295455.1","lncRNA"
"203","ENSG00000295648.1","lncRNA"
"204","ENSG00000296644.1","lncRNA"
"205","ENSG00000296798.1","lncRNA"
"206","ENSG00000297394.1","lncRNA"
"207","ENSG00000297936.1","lncRNA"
"208","ENSG00000300662.1","lncRNA"
"209","ENSG00000301410.1","lncRNA"
"210","ENSG00000303548.1","lncRNA"
"211","ENSG00000303746.1","lncRNA"
"212","ENSG00000288175.3","protein_coding"
"213","ENSG00000304032.1","lncRNA"
"214","ENSG00000304964.1","lncRNA"
"215","ENSG00000288244.1","lncRNA"
"216","ENSG00000276312.1","misc_RNA"
"217","ENSG00000276700.1","rRNA"
"218","ENSG00000275757.1","rRNA"
"219","ENSG00000305027.1","lncRNA"
"220","ENSG00000273739.1","misc_RNA"
"221","ENSG00000298142.1","lncRNA"
"222","ENSG00000305713.1","lncRNA"
"223","ENSG00000301406.1","lncRNA"
"224","ENSG00000288372.1","lncRNA"
"225","ENSG00000307206.1","lncRNA"
"226","ENSG00000306124.1","lncRNA"
"227","ENSG00000288288.1","lncRNA"
"228","ENSG00000288157.1","protein_coding"
"229","ENSG00000307249.1","lncRNA"
"230","ENSG00000310376.1","lncRNA"
"231","ENSG00000288129.1","lncRNA"
"232","ENSG00000308567.1","lncRNA"
"233","ENSG00000288472.1","lncRNA"
"234","ENSG00000310392.1","lncRNA"
"235","ENSG00000288304.1","lncRNA"
"236","ENSG00000288481.1","protein_coding"
"237","ENSG00000288424.2","transcribed_unprocessed_pseudogene"
"238","ENSG00000309335.1","lncRNA"
"239","ENSG00000310156.1","lncRNA"
"240","ENSG00000288417.1","lncRNA"
"241","ENSG00000290627.1","lncRNA"
"242","ENSG00000288201.1","rRNA_pseudogene"
"243","ENSG00000288196.1","transcribed_unprocessed_pseudogene"
"244","ENSG00000288502.1","lncRNA"
"245","ENSG00000288457.2","unprocessed_pseudogene"
"246","ENSG00000288311.1","lncRNA"
"247","ENSG00000288449.1","lncRNA"
"248","ENSG00000288499.1","protein_coding"
"249","ENSG00000288159.1","TEC"
"250","ENSG00000288431.1","protein_coding"
"251","ENSG00000306474.1","lncRNA"
"252","ENSG00000306526.1","lncRNA"
"253","ENSG00000282162.1","lncRNA"
"254","ENSG00000281934.1","protein_coding"
"255","ENSG00000288260.1","protein_coding"
"256","ENSG00000288430.1","snRNA"
"257","ENSG00000288297.1","protein_coding"
"258","ENSG00000282116.1","unprocessed_pseudogene"
"259","ENSG00000282175.4","protein_coding"
"260","ENSG00000282817.1","protein_coding"
"261","ENSG00000288274.1","protein_coding"
"262","ENSG00000282584.2","protein_coding"
"263","ENSG00000288243.1","protein_coding"
"264","ENSG00000282663.1","protein_coding"
"265","ENSG00000279195.2","protein_coding"
"266","ENSG00000282338.1","snRNA"
"267","ENSG00000282549.1","unprocessed_pseudogene"
"268","ENSG00000282119.2","protein_coding"
"269","ENSG00000282791.1","unprocessed_pseudogene"
"270","ENSG00000282437.2","protein_coding"
"271","ENSG00000291381.1","protein_coding"
"272","ENSG00000282559.1","protein_coding"
"273","ENSG00000291405.1","lncRNA"
"274","ENSG00000282566.2","protein_coding"
"275","ENSG00000291404.1","transcribed_unprocessed_pseudogene"
"276","ENSG00000291376.1","lncRNA"
"277","ENSG00000291382.1","protein_coding"
"278","ENSG00000291377.1","processed_pseudogene"
"279","ENSG00000291375.1","protein_coding"
"280","ENSG00000282258.1","unprocessed_pseudogene"
"281","ENSG00000291379.1","protein_coding"
"282","ENSG00000282562.1","unprocessed_pseudogene"
"283","ENSG00000288388.1","processed_pseudogene"
"284","ENSG00000288138.1","processed_pseudogene"
"285","ENSG00000282530.2","protein_coding"
"286","ENSG00000282468.2","transcribed_unprocessed_pseudogene"
"287","ENSG00000291374.1","processed_pseudogene"
"288","ENSG00000290624.1","lncRNA"
"289","ENSG00000291401.1","protein_coding"
"290","ENSG00000282341.1","lncRNA"
"291","ENSG00000281987.2","protein_coding"
"292","ENSG00000282095.3","protein_coding"
"293","ENSG00000291380.1","protein_coding"
"294","ENSG00000282298.1","protein_coding"
"295","ENSG00000282741.3","protein_coding"
"296","ENSG00000282212.2","protein_coding"
"297","ENSG00000282289.1","unprocessed_pseudogene"
"298","ENSG00000291388.1","lncRNA"
"299","ENSG00000282424.1","protein_coding"
"300","ENSG00000291402.1","transcribed_unprocessed_pseudogene"
"301","ENSG00000291389.1","snRNA"
"302","ENSG00000291390.1","lncRNA"
"303","ENSG00000291391.1","lncRNA"
"304","ENSG00000291392.1","lncRNA"
"305","ENSG00000291393.1","snRNA"
"306","ENSG00000291394.1","unprocessed_pseudogene"
"307","ENSG00000291386.1","lncRNA"
"308","ENSG00000282216.1","unprocessed_pseudogene"
"309","ENSG00000282288.1","snRNA"
"310","ENSG00000291385.1","snRNA"
"311","ENSG00000282583.1","protein_coding"
"312","ENSG00000291408.1","lncRNA"
"313","ENSG00000291384.1","processed_pseudogene"
"314","ENSG00000291400.1","lncRNA"
"315","ENSG00000282125.2","protein_coding"
"316","ENSG00000293551.1","protein_coding"
"317","ENSG00000291383.1","snRNA"
"318","ENSG00000291395.1","transcribed_unprocessed_pseudogene"
"319","ENSG00000291397.1","unprocessed_pseudogene"
"320","ENSG00000291398.1","processed_pseudogene"
"321","ENSG00000291396.1","snRNA"
"322","ENSG00000291399.1","snRNA"
"323","ENSG00000291387.1","protein_coding"
"324","ENSG00000292230.1","unprocessed_pseudogene"
"325","ENSG00000291403.1","unprocessed_pseudogene"
"326","ENSG00000292231.1","unprocessed_pseudogene"
"327","ENSG00000291407.1","lncRNA"
"328","ENSG00000292235.1","unprocessed_pseudogene"
"329","ENSG00000292236.1","processed_pseudogene"
"330","ENSG00000292238.1","unprocessed_pseudogene"
"331","ENSG00000292239.1","unprocessed_pseudogene"
"332","ENSG00000292240.1","unprocessed_pseudogene"
"333","ENSG00000292241.1","unprocessed_pseudogene"
"334","ENSG00000292242.1","unprocessed_pseudogene"
"335","ENSG00000292229.1","unprocessed_pseudogene"
"336","ENSG00000292226.2","protein_coding"
"337","ENSG00000292228.2","protein_coding"
"338","ENSG00000281819.1","processed_pseudogene"
"339","ENSG00000292227.2","protein_coding"
"340","ENSG00000263150.3","protein_coding"
"341","ENSG00000262851.2","protein_coding"
"342","ENSG00000261897.1","protein_coding"
"343","ENSG00000262784.2","protein_coding"
"344","ENSG00000292225.2","protein_coding"
"345","ENSG00000262611.4","protein_coding"
"346","ENSG00000280712.1","unprocessed_pseudogene"
"347","ENSG00000262755.1","protein_coding"
"348","ENSG00000281773.1","unprocessed_pseudogene"
"349","ENSG00000280617.1","unprocessed_pseudogene"
"350","ENSG00000263328.2","protein_coding"
"351","ENSG00000281820.1","processed_pseudogene"
"352","ENSG00000262796.1","protein_coding"
"353","ENSG00000262315.4","protein_coding"
"354","ENSG00000281038.1","protein_coding"
"355","ENSG00000280577.1","unprocessed_pseudogene"
"356","ENSG00000291410.1","lncRNA"
"357","ENSG00000291411.1","lncRNA"
"358","ENSG00000291412.1","lncRNA"
"359","ENSG00000291413.1","TEC"
"360","ENSG00000291414.1","miRNA"
"361","ENSG00000291415.1","miRNA"
"362","ENSG00000291416.1","lncRNA"
"363","ENSG00000291417.1","lncRNA"
"364","ENSG00000291418.1","lncRNA"
"365","ENSG00000291420.1","protein_coding"
"366","ENSG00000291421.1","protein_coding"
"367","ENSG00000291422.1","lncRNA"
"368","ENSG00000291423.1","lncRNA"
"369","ENSG00000291424.1","lncRNA"
"370","ENSG00000291425.1","lncRNA"
"371","ENSG00000288319.1","protein_coding"
"372","ENSG00000288521.1","snRNA"
"373","ENSG00000288394.1","unprocessed_pseudogene"
"374","ENSG00000288228.1","processed_pseudogene"
"375","ENSG00000288342.1","unprocessed_pseudogene"
"376","ENSG00000288315.1","unprocessed_pseudogene"
"377","ENSG00000288272.1","processed_pseudogene"
"378","ENSG00000281449.2","protein_coding"
"379","ENSG00000281442.1","processed_pseudogene"
"380","ENSG00000283344.1","miRNA"
"381","ENSG00000281324.3","protein_coding"
"382","ENSG00000290500.1","lncRNA"
"383","ENSG00000261958.1","protein_coding"
"384","ENSG00000262191.1","protein_coding"
"385","ENSG00000281683.1","processed_pseudogene"
"386","ENSG00000262268.3","unprocessed_pseudogene"
"387","ENSG00000262647.3","protein_coding"
"388","ENSG00000281777.1","unprocessed_pseudogene"
"389","ENSG00000281313.1","unprocessed_pseudogene"
"390","ENSG00000281279.1","unprocessed_pseudogene"
"391","ENSG00000262535.6","transcribed_unprocessed_pseudogene"
"392","ENSG00000281107.1","protein_coding"
"393","ENSG00000281839.1","lncRNA"
"394","ENSG00000280475.1","processed_pseudogene"
"395","ENSG00000206783.2","snRNA"
"396","ENSG00000281874.1","processed_pseudogene"
"397","ENSG00000207477.2","snRNA"
"398","ENSG00000281818.3","protein_coding"
"399","ENSG00000281051.1","processed_pseudogene"
"400","ENSG00000281234.1","lncRNA"
"401","ENSG00000280689.3","protein_coding"
"402","ENSG00000281168.1","processed_pseudogene"
"403","ENSG00000280962.3","protein_coding"
"404","ENSG00000281671.1","lncRNA"
"405","ENSG00000281525.1","processed_pseudogene"
"406","ENSG00000288406.1","processed_pseudogene"
"407","ENSG00000291426.1","protein_coding"
"408","ENSG00000288135.1","lncRNA"
"409","ENSG00000288322.1","lncRNA"
"410","ENSG00000288356.1","lncRNA"
"411","ENSG00000288117.1","misc_RNA"
"412","ENSG00000291427.1","lncRNA"
"413","ENSG00000291429.1","lncRNA"
"414","ENSG00000291430.1","lncRNA"
"415","ENSG00000291428.1","protein_coding"
"416","ENSG00000291441.1","lncRNA"
"417","ENSG00000291431.1","protein_coding"
"418","ENSG00000291432.1","lncRNA"
"419","ENSG00000291433.1","protein_coding"
"420","ENSG00000291434.1","protein_coding"
"421","ENSG00000291435.1","protein_coding"
"422","ENSG00000291440.1","protein_coding"
"423","ENSG00000291443.1","protein_coding"
"424","ENSG00000291436.1","lncRNA"
"425","ENSG00000291437.1","lncRNA"
"426","ENSG00000291438.1","lncRNA"
"427","ENSG00000291439.1","lncRNA"
"428","ENSG00000291442.1","protein_coding"
"429","ENSG00000292327.1","protein_coding"
"430","ENSG00000292328.1","processed_pseudogene"
"431","ENSG00000292329.1","unprocessed_pseudogene"
"432","ENSG00000292332.1","protein_coding"
"433","ENSG00000292333.1","protein_coding"
"434","ENSG00000292334.1","protein_coding"
"435","ENSG00000292337.1","lncRNA"
"436","ENSG00000292338.1","protein_coding"
"437","ENSG00000292339.1","protein_coding"
"438","ENSG00000292342.1","lncRNA"
"439","ENSG00000292344.1","protein_coding"
"440","ENSG00000292345.1","protein_coding"
"441","ENSG00000292346.1","miRNA"
"442","ENSG00000292347.1","lncRNA"
"443","ENSG00000292348.1","protein_coding"
"444","ENSG00000292350.1","misc_RNA"
"445","ENSG00000292352.1","processed_pseudogene"
"446","ENSG00000292353.1","processed_pseudogene"
"447","ENSG00000292354.1","protein_coding"
"448","ENSG00000292355.1","miRNA"
"449","ENSG00000292356.1","rRNA_pseudogene"
"450","ENSG00000292361.1","transcribed_unprocessed_pseudogene"
"451","ENSG00000292363.1","protein_coding"
"452","ENSG00000292343.1","protein_coding"
"453","ENSG00000292336.1","protein_coding"
"454","ENSG00000292330.1","lncRNA"
"455","ENSG00000285019.1","processed_pseudogene"
"456","ENSG00000285196.1","unprocessed_pseudogene"
"457","ENSG00000292357.2","protein_coding"
"458","ENSG00000285308.1","unprocessed_pseudogene"
"459","ENSG00000288512.1","protein_coding"
"460","ENSG00000285028.1","unprocessed_pseudogene"
"461","ENSG00000285455.1","unprocessed_pseudogene"
"462","ENSG00000285477.1","unprocessed_pseudogene"
"463","ENSG00000310541.1","lncRNA"
"464","ENSG00000310543.1","lncRNA"
"465","ENSG00000310544.1","lncRNA"
"466","ENSG00000310545.1","lncRNA"
"467","ENSG00000310546.1","lncRNA"
"468","ENSG00000292331.2","lncRNA"
"469","ENSG00000310547.1","lncRNA"
"470","ENSG00000310548.1","lncRNA"
"471","ENSG00000292349.2","lncRNA"
"472","ENSG00000292341.2","lncRNA"
"473","ENSG00000310549.1","lncRNA"
"474","ENSG00000310551.1","lncRNA"
"475","ENSG00000310552.1","lncRNA"
"476","ENSG00000292335.2","lncRNA"
"477","ENSG00000310553.1","lncRNA"
"478","ENSG00000310554.1","lncRNA"
"479","ENSG00000310556.1","lncRNA"
"480","ENSG00000310540.2","lncRNA"
"481","ENSG00000292362.2","lncRNA"
"482","ENSG00000288263.1","protein_coding"
"483","ENSG00000288305.1","TEC"
"484","ENSG00000292360.2","lncRNA"
"485","ENSG00000310557.1","lncRNA"
"486","ENSG00000288124.1","protein_coding"
"487","ENSG00000292358.2","protein_coding"
"488","ENSG00000292364.1","processed_pseudogene"
"489","ENSG00000292365.1","processed_pseudogene"
"490","ENSG00000292366.1","protein_coding"
"491","ENSG00000292367.1","processed_pseudogene"
"492","ENSG00000292368.1","processed_pseudogene"
"493","ENSG00000292369.1","lncRNA"
"494","ENSG00000292371.1","unprocessed_pseudogene"
"495","ENSG00000292372.1","protein_coding"
"496","ENSG00000310550.1","lncRNA"
"497","ENSG00000310555.1","lncRNA"
"498","ENSG00000292370.2","lncRNA"
"499","ENSG00000288352.1","lncRNA"
"500","ENSG00000292373.2","protein_coding"
"501","ENSG00000310542.1","lncRNA"
"502","ENSG00000288369.1","protein_coding"
"503","ENSG00000215601.3","unprocessed_pseudogene"
"504","ENSG00000215603.4","processed_pseudogene"
"505","ENSG00000225878.1","processed_pseudogene"
"506","ENSG00000236435.1","unprocessed_pseudogene"
"507","ENSG00000258991.1","unprocessed_pseudogene"
"508","ENSG00000224518.2","processed_pseudogene"
"509","ENSG00000231988.1","unprocessed_pseudogene"
"510","ENSG00000238073.1","unprocessed_pseudogene"
"511","ENSG00000275866.1","processed_pseudogene"
"512","ENSG00000271595.1","processed_pseudogene"
"513","ENSG00000183704.7","unprocessed_pseudogene"
"514","ENSG00000232927.1","processed_pseudogene"
"515","ENSG00000277438.1","processed_pseudogene"
"516","ENSG00000259154.1","unprocessed_pseudogene"
"517","ENSG00000284403.2","snRNA"
"518","ENSG00000288383.1","lncRNA"
"519","ENSG00000169789.10","protein_coding"
"520","ENSG00000288427.1","protein_coding"
"521","ENSG00000273589.1","unprocessed_pseudogene"
"522","ENSG00000273863.1","processed_pseudogene"
"523","ENSG00000271375.1","processed_pseudogene"
"524","ENSG00000224634.1","processed_pseudogene"
"525","ENSG00000285470.1","processed_pseudogene"
"526","ENSG00000234620.1","unprocessed_pseudogene"
"527","ENSG00000236690.2","unprocessed_pseudogene"
"528","ENSG00000273693.1","processed_pseudogene"
"529","ENSG00000114374.13","protein_coding"
"530","ENSG00000169807.10","protein_coding"
"531","ENSG00000223422.1","unprocessed_pseudogene"
"532","ENSG00000231159.1","unprocessed_pseudogene"
"533","ENSG00000225653.1","processed_pseudogene"
"534","ENSG00000251618.1","unprocessed_pseudogene"
"535","ENSG00000229159.1","unprocessed_pseudogene"
"536","ENSG00000228578.1","unprocessed_pseudogene"
"537","ENSG00000288281.1","lncRNA"
"538","ENSG00000275280.1","processed_pseudogene"
"539","ENSG00000288116.1","lncRNA"
"540","ENSG00000270242.1","processed_pseudogene"
"541","ENSG00000236477.1","processed_pseudogene"
"542","ENSG00000237997.1","processed_pseudogene"
"543","ENSG00000244246.1","processed_pseudogene"
"544","ENSG00000198692.10","protein_coding"
"545","ENSG00000288217.3","protein_coding"
"546","ENSG00000291444.1","unprocessed_pseudogene"
"547","ENSG00000291445.1","processed_pseudogene"
"548","ENSG00000291446.1","unprocessed_pseudogene"
"549","ENSG00000291447.1","unprocessed_pseudogene"
"550","ENSG00000291448.1","unprocessed_pseudogene"
"551","ENSG00000291449.1","unprocessed_pseudogene"
"552","ENSG00000291450.1","processed_pseudogene"
"553","ENSG00000291451.1","unprocessed_pseudogene"
"554","ENSG00000291452.1","processed_pseudogene"
"555","ENSG00000291453.1","lncRNA"
"556","ENSG00000291455.1","protein_coding"
"557","ENSG00000183753.10","protein_coding"
"558","ENSG00000291456.1","lncRNA"
"559","ENSG00000291457.1","transcribed_unprocessed_pseudogene"
"560","ENSG00000291458.1","protein_coding"
"561","ENSG00000225433.3","unprocessed_pseudogene"
"562","ENSG00000235857.1","processed_pseudogene"
"563","ENSG00000223955.1","processed_pseudogene"
"564","ENSG00000270455.1","processed_pseudogene"
"565","ENSG00000291459.1","protein_coding"
"566","ENSG00000291460.1","transcribed_unprocessed_pseudogene"
"567","ENSG00000291461.1","transcribed_unprocessed_pseudogene"
"568","ENSG00000291462.1","lncRNA"
"569","ENSG00000229940.1","unprocessed_pseudogene"
"570","ENSG00000234385.1","processed_pseudogene"
"571","ENSG00000291454.2","transcribed_processed_pseudogene"
"572","ENSG00000226863.1","transcribed_unprocessed_pseudogene"
"573","ENSG00000293355.1","lncRNA"
"574","ENSG00000237968.1","unprocessed_pseudogene"
"575","ENSG00000271365.1","processed_pseudogene"
"576","ENSG00000259029.1","unprocessed_pseudogene"
"577","ENSG00000215537.3","processed_pseudogene"
"578","ENSG00000230476.1","unprocessed_pseudogene"
"579","ENSG00000229745.1","unprocessed_pseudogene"
"580","ENSG00000275828.1","unprocessed_pseudogene"
"581","ENSG00000225615.1","unprocessed_pseudogene"
"582","ENSG00000232522.1","unprocessed_pseudogene"
"583","ENSG00000234131.1","processed_pseudogene"
"584","ENSG00000277519.1","unprocessed_pseudogene"
"585","ENSG00000259247.1","unprocessed_pseudogene"
"586","ENSG00000273731.1","processed_pseudogene"
"587","ENSG00000215583.3","processed_pseudogene"
"588","ENSG00000274162.1","processed_pseudogene"
"589","ENSG00000227444.1","unprocessed_pseudogene"
"590","ENSG00000233774.1","unprocessed_pseudogene"
"591","ENSG00000228764.1","processed_pseudogene"
"592","ENSG00000232226.2","transcribed_unprocessed_pseudogene"
"593","ENSG00000224567.2","processed_pseudogene"
"594","ENSG00000241200.1","processed_pseudogene"
"595","ENSG00000228518.1","processed_pseudogene"
"596","ENSG00000274231.1","processed_pseudogene"
"597","ENSG00000274502.1","processed_pseudogene"
"598","ENSG00000278854.1","processed_pseudogene"
"599","ENSG00000225809.1","unprocessed_pseudogene"
"600","ENSG00000237902.1","unprocessed_pseudogene"
"601","ENSG00000232419.1","lncRNA"
"602","ENSG00000226906.1","lncRNA"
"603","ENSG00000230025.1","unprocessed_pseudogene"
"604","ENSG00000235649.2","unprocessed_pseudogene"
"605","ENSG00000258567.1","unprocessed_pseudogene"
"606","ENSG00000234179.1","processed_pseudogene"
"607","ENSG00000271309.1","processed_pseudogene"
"608","ENSG00000229553.1","unprocessed_pseudogene"
"609","ENSG00000228240.1","lncRNA"
"610","ENSG00000234652.1","processed_pseudogene"
"611","ENSG00000218410.1","processed_pseudogene"
"612","ENSG00000224989.2","lncRNA"
"613","ENSG00000232029.1","processed_pseudogene"
"614","ENSG00000273858.1","processed_pseudogene"
"615","ENSG00000227830.1","processed_pseudogene"
"616","ENSG00000226529.1","processed_pseudogene"
"617","ENSG00000274837.1","processed_pseudogene"
"618","ENSG00000216777.1","processed_pseudogene"
"619","ENSG00000216824.2","processed_pseudogene"
"620","ENSG00000276829.1","unprocessed_pseudogene"
